codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
9917,41179,PROAD,923,AVIÃO,FOKKER,F28MK0100,JATO,2.0,44450.0,107.0,1991.0,BRASIL,TPR,REGULAR,SBBR,SBCF,CORRIDA APÓS POUSO,REGULAR,SUBSTANCIAL,,2016-07-30,-15.87174755,-47.91172169662855,-19.63339785,-43.96836942393943
9956,44879,PTHRL,5956,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,622.0,2.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SBMT,SBMT,OPERAÇÃO DE SOLO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.50990145,-46.63844142922537,-23.50990145,-46.63844142922537
10000,52938,PPGMA,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,2.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SBLO,SBLO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.331887549999998,-51.1346212481326,-23.331887549999998,-51.1346212481326
10000,44437,PPGMA,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,2.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SBLO,SBLO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.331887549999998,-51.1346212481326,-23.331887549999998,-51.1346212481326
10006,36657,PTWJP,3992,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PISTÃO,1.0,1950.0,6.0,1995.0,BRASIL,TPP,PARTICULAR,SBGW,SBSJ,CRUZEIRO,PRIVADA,SUBSTANCIAL,,2016-07-30,-22.791205050000002,-45.20482610775648,-23.2286857,-45.86031987273927
10016,39933,PTOID,3992,AVIÃO,CESSNA AIRCRAFT,310R,PISTÃO,2.0,2495.0,6.0,1976.0,BRASIL,TPP,PARTICULAR,SDPN,SBBH,DESCIDA,PRIVADA,DESTRUÍDA,2.0,2016-07-30,24.1529658,75.0378624,-19.8491253,-43.9645521
10186,53493,PPPTM,3994,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,2.0,22500.0,73.0,2008.0,BRASIL,TPR,REGULAR,SBBR,SBRP,DECOLAGEM,REGULAR,LEVE,,2016-07-30,-15.87174755,-47.91172169662855,-21.13330235,-47.77468310119474
10212,37182,PTXLS,3900,AVIÃO,PIPER AIRCRAFT,PA-25-260,PISTÃO,1.0,1315.0,1.0,1968.0,BRASIL,SAE-AG,AGRÍCOLA,SSMP,SSMP,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,,2016-07-30,55.700304849999995,52.33898408899852,55.700304849999995,52.33898408899852
10223,37357,PRNDF,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,1.0,1134.0,4.0,2005.0,BRASIL,TPP,PARTICULAR,SBMK,SBQV,DESCIDA,PRIVADA,DESTRUÍDA,2.0,2016-07-30,-16.70518095,-43.82008294490494,-14.86450825,-40.862788613186495
10226,51015,PTWGV,279,AVIÃO,CESSNA AIRCRAFT,150M,PISTÃO,1.0,726.0,2.0,1977.0,BRASIL,PRI,INSTRUÇÃO,SBSJ,SDIM,MANOBRA,INSTRUÇÃO,NENHUM,,2016-07-30,-23.2286857,-45.86031987273927,-24.16068285,-46.78931088580849
10226,37377,PTWGV,279,AVIÃO,CESSNA AIRCRAFT,150M,PISTÃO,1.0,726.0,2.0,1977.0,BRASIL,PRI,INSTRUÇÃO,SBSJ,SBSJ,TÁXI,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.2286857,-45.86031987273927,-23.2286857,-45.86031987273927
10228,37379,PTLXD,3992,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2495.0,6.0,1989.0,BRASIL,TPP,PARTICULAR,SNWJ,SBAU,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,,2016-07-30,52.8990508,-1.27162869433029,-21.140815,-50.425139094792286
10230,37435,PTVIN,1232,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633.0,6.0,1990.0,BRASIL,TPX,TÁXI AÉREO,SBTE,SNQG,CRUZEIRO,TÁXI AÉREO,LEVE,,2016-07-30,-5.0598744,-42.823510202633514,,
10256,37577,PRMOZ,3992,AVIÃO,RAYTHEON AIRCRAFT,B300,TURBOÉLICE,2.0,6804.0,11.0,1999.0,BRASIL,TPP,PARTICULAR,SBSP,SBTV,APROXIMAÇÃO FINAL,PRIVADA,DESTRUÍDA,14.0,2016-07-30,-23.6256872,-46.6612303,,
10298,53352,PTMZY,4834,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,2.0,70000.0,184.0,2001.0,BRASIL,TPR,REGULAR,SBAR,SBGR,CRUZEIRO,REGULAR,NENHUM,,2016-07-30,49.5453722,10.2298193,-23.43779495,-46.481320528800595
10308,37797,PRMES,3992,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,TURBOEIXO,1.0,2250.0,7.0,2005.0,BRASIL,TPP,PARTICULAR,SDRJ,SIIL,ESTACIONAMENTO,PRIVADA,NENHUM,1.0,2016-07-30,-22.971111,-43.2164547,44.3211002,120.022974
10334,38055,PREJK,1821,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1979.0,BRASIL,PRI,INSTRUÇÃO,SBJD,SBJD,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.18119415,-46.942913735809945,-23.18119415,-46.942913735809945
10335,38075,PTEOV,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PISTÃO,1.0,1542.0,7.0,1978.0,BRASIL,TPP,PARTICULAR,SBIZ,SBBE,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-5.5301267,-47.45800807097166,-1.3798578,-48.47964610194296
10343,45072,PTNSY,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157.0,4.0,1978.0,BRASIL,TPP,PARTICULAR,SDOU,SDOR,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-22.966458,-49.91315384754624,-20.7467907,-47.88944549244658
10346,46443,PPITZ,624,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,1.0,3969.0,11.0,1996.0,BRASIL,TPX,TÁXI AÉREO,SWKO,SBTF,CRUZEIRO,TÁXI AÉREO,LEVE,,2016-07-30,-4.1331087,-63.13174905775732,-3.3824045,-64.72460759140549
10384,49616,PTVRF,3992,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155.0,7.0,1994.0,BRASIL,TPP,PARTICULAR,SNOF,SBCN,APROXIMAÇÃO FINAL,PRIVADA,DESTRUÍDA,5.0,2016-07-30,-22.2975006,-46.3932991,-17.7247899,-48.6081742294032
10384,38375,PTVRF,3992,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155.0,7.0,1994.0,BRASIL,TPP,PARTICULAR,SSVI,SWLC,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-26.9999874,-51.143393738721315,-17.834426,-50.9559705443272
